# XviD 2pass stat file (core version 1.3.5)
# Please do not modify this file

b 4 0 1350 0 1719 812
b 4 0 1350 0 1272 833
p 2 0 1199 151 7325 1553
b 4 0 1350 0 2491 1123
b 4 0 1350 0 975 878
p 2 0 1340 10 19511 1912
b 4 0 1350 0 2125 975
b 4 0 1350 0 1031 836
p 2 0 1290 60 13131 1707
b 4 0 1350 0 2298 1274
b 4 0 1350 0 1463 937
p 2 0 1295 55 12977 1735
b 4 0 1350 0 2479 1281
b 4 0 1350 0 2309 1150
p 2 0 1220 130 11222 1647
b 4 0 1350 0 766 610
b 4 0 1350 0 2271 1187
p 2 0 1339 11 20722 1978
b 4 0 1350 0 1108 910
b 4 0 1350 0 2500 1040
p 2 0 1293 57 11642 1713
b 4 0 1350 0 1552 788
b 4 0 1350 0 1933 1097
p 2 0 1285 65 16266 1787
b 4 0 1350 0 747 662
b 4 0 1350 0 1170 728
p 2 0 1225 125 13292 1665
b 4 0 1350 0 698 581
b 4 0 1350 0 1298 1066
p 2 0 1340 10 20333 1940
b 4 0 1350 0 2358 1012
b 4 0 1350 0 3426 1493
p 2 0 1276 74 11985 1708
b 4 0 1350 0 1447 834
b 4 0 1350 0 847 752
p 2 0 1226 124 8633 1569
b 4 0 1350 0 990 893
b 4 0 1350 0 1081 841
p 2 0 1198 152 11659 1570
b 4 0 1350 0 1328 894
b 4 0 1350 0 2950 1131
p 2 0 1336 14 17720 1929
b 4 0 1350 0 2696 1102
b 4 0 1350 0 1998 980
p 2 0 1233 117 9989 1646
b 4 0 1350 0 1951 1049
b 4 0 1350 0 1845 1085
p 2 0 1329 21 18698 1997
b 4 0 1350 0 599 550
p 2 0 1347 3 20311 2295
b 4 0 1350 0 1655 1021
b 4 0 1350 0 1606 1215
p 2 8 1332 10 22965 2357
b 4 0 1350 0 2578 1364
p 2 4 1346 0 18950 2230
b 4 0 1350 0 2650 1323
b 4 0 1350 0 1936 1271
p 2 14 1312 24 19779 2341
b 4 0 1350 0 2239 1311
b 4 0 1350 0 2165 1368
p 2 16 1323 11 16737 2249
b 4 0 1350 0 1906 1219
b 4 0 1350 0 1970 1355
p 2 24 1288 38 13272 2124
b 4 0 1350 0 1654 1550
p 2 22 1321 7 12436 2473
b 4 0 1350 0 1745 1205
b 4 0 1350 0 1972 1242
p 2 48 1236 66 5996 2076
b 4 0 1350 0 1529 1301
b 4 0 1350 0 1064 1064
p 2 17 1302 31 2558 1874
b 4 0 1350 0 697 697
b 4 0 1350 0 642 642
p 2 0 1205 145 1700 1572
b 4 0 1350 0 679 679
b 4 0 1350 0 620 620
p 2 0 1271 79 1518 1447
b 4 0 1350 0 395 395
b 4 0 1350 0 358 358
p 2 0 1117 233 1385 1358
b 4 0 1350 0 500 500
b 4 0 1350 0 469 469
